team;position;grade
palmeiras;1;1783,6910920659207
flamengo;2;1767,7683467523213
atletico-mg;3;1714,0792023049084
internacional;4;1699,40381595759
corinthians;5;1670,736952270599
sao paulo;6;1663,7211821299534
gremio;7;1650,6463376439897
fluminense;8;1625,8861859348056
santos;9;1617,6262831831543
athletico-pr;10;1594,4452086539407
cruzeiro;11;1585,9483059690972
bragantino;12;1527,796780473753
fortaleza;13;1515,3879785029044
vasco;14;1504,463135824345
barueri;15;1501,614638104254
cuiaba;16;1488,5992022300763
botafogo-rj;17;1477,2872902186123
portuguesa;18;1476,3339685296878
sao caetano;19;1475,5599092718546
ceara;20;1473,6225741285782
america-mg;21;1473,2356388099386
santo andre;22;1471,546105027154
bahia;23;1468,3396584063194
goias;24;1466,9252983258657
brasiliense;25;1456,88870900401
ipatinga;26;1453,229454995385
csa;27;1450,273418901514
joinville;28;1448,3242834607827
atletico-go;29;1448,03243762563
gremio prudente;30;1444,2021026005978
ponte preta;31;1440,0485942430319
sport;32;1438,475065140316
figueirense;33;1438,1954431279025
guarani;34;1432,4223352639876
vitoria;35;1426,3261129693874
paysandu;36;1423,5123333341357
coritiba;37;1421,1934507730828
parana;38;1410,8675351611548
criciuma;39;1406,3875914158725
juventude;40;1393,435281284228
america-rn;41;1392,8088342881556
santa cruz;42;1383,309086706055
chapecoense;43;1375,9099044297807
nautico;44;1367,596843624725
avai;45;1353,8960909306422
