team;position;grade
flamengo;1;728,1897247886857
atletico-mg;2;702,8693807986435
palmeiras;3;700,569323931277
sao paulo;4;671,8653627552762
santos;5;665,0840563560602
internacional;6;663,0722501137861
gremio;7;662,1505155886043
corinthians;8;661,6293707414984
athletico-pr;9;636,7558039727716
fluminense;10;636,217327005397
cruzeiro;11;632,5879205276095
bragantino;12;625,8421898037665
cuiaba;13;605,6380617612069
ceara;14;605,0915033734417
vasco;15;603,373258690924
barueri;16;601,2493662827042
fortaleza;17;599,4115373351162
atletico-go;18;595,6967863774883
portuguesa;19;591,5460106583181
bahia;20;590,1588890254395
santo andre;21;586,7724239789079
sao caetano;22;586,4908926181363
juventude;23;585,1460587262344
goias;24;584,0977029144574
america-mg;25;582,1539461774845
brasiliense;26;579,1315317569272
ipatinga;27;577,8952202830609
botafogo-rj;28;577,5671697164842
ponte preta;29;577,1482534887627
csa;30;576,4544010171613
joinville;31;575,592867788608
sport;32;575,5024750164539
figueirense;33;573,5483998030328
gremio prudente;34;573,3621034666371
coritiba;35;570,7107862649603
vitoria;36;570,4911848373582
guarani;37;568,6164210783177
paysandu;38;564,3726866784983
parana;39;558,4341546988333
criciuma;40;557,6775127108735
america-rn;41;548,2491808724717
santa cruz;42;545,4559779100631
avai;43;543,3689800474532
chapecoense;44;542,9763095385083
nautico;45;539,7847187222983
