name;year;grade;name_year
america-mg;2011;1498,5175471449804;america-mg-2011
america-mg;2016;1406,132483938039;america-mg-2016
america-mg;2018;1442,637382589401;america-mg-2018
america-mg;2021;1599,2054686976662;america-mg-2021
america-mg;2022;1598,1338845294047;america-mg-2022
america-rn;2007;1306,875415007942;america-rn-2007
athletico-pr;2003;1505,910494063257;athletico-pr-2003
athletico-pr;2004;1634,5806895869378;athletico-pr-2004
athletico-pr;2005;1582,538602338734;athletico-pr-2005
athletico-pr;2006;1521,1091247159948;athletico-pr-2006
athletico-pr;2007;1582,4834304644396;athletico-pr-2007
athletico-pr;2008;1527,5999170525772;athletico-pr-2008
athletico-pr;2009;1541,2500303455113;athletico-pr-2009
athletico-pr;2010;1627,9503320791562;athletico-pr-2010
athletico-pr;2011;1548,079034935612;athletico-pr-2011
athletico-pr;2013;1622,0863839225951;athletico-pr-2013
athletico-pr;2014;1588,0135623301728;athletico-pr-2014
athletico-pr;2015;1551,0885614136132;athletico-pr-2015
athletico-pr;2016;1579,384250429042;athletico-pr-2016
athletico-pr;2017;1573,2561164941246;athletico-pr-2017
athletico-pr;2018;1636,2418172783657;athletico-pr-2018
athletico-pr;2019;1694,7563127812616;athletico-pr-2019
athletico-pr;2020;1607,6370071013037;athletico-pr-2020
athletico-pr;2021;1557,153529573624;athletico-pr-2021
athletico-pr;2022;1601,049667722298;athletico-pr-2022
atletico-go;2010;1507,5944918563114;atletico-go-2010
atletico-go;2011;1540,8997586443038;atletico-go-2011
atletico-go;2012;1431,660429555881;atletico-go-2012
atletico-go;2017;1466,6260400895408;atletico-go-2017
atletico-go;2020;1536,967565334213;atletico-go-2020
atletico-go;2021;1617,0167895230704;atletico-go-2021
atletico-go;2022;1504,1786585333405;atletico-go-2022
atletico-mg;2003;1544,888157840936;atletico-mg-2003
atletico-mg;2004;1477,2320898077717;atletico-mg-2004
atletico-mg;2005;1482,3075559667886;atletico-mg-2005
atletico-mg;2007;1571,2911646453856;atletico-mg-2007
atletico-mg;2008;1541,2050938254356;atletico-mg-2008
atletico-mg;2009;1527,2722174842897;atletico-mg-2009
atletico-mg;2010;1529,301307204193;atletico-mg-2010
atletico-mg;2011;1529,947416540544;atletico-mg-2011
atletico-mg;2012;1649,6814373112902;atletico-mg-2012
atletico-mg;2013;1632,5537908726908;atletico-mg-2013
atletico-mg;2014;1633,8342685816115;atletico-mg-2014
atletico-mg;2015;1655,834110462424;atletico-mg-2015
atletico-mg;2016;1644,7090557914562;atletico-mg-2016
atletico-mg;2017;1630,4858327795887;atletico-mg-2017
atletico-mg;2018;1612,7147133165724;atletico-mg-2018
atletico-mg;2019;1544,6968577663527;atletico-mg-2019
atletico-mg;2020;1633,3401591119211;atletico-mg-2020
atletico-mg;2021;1786,34178542262;atletico-mg-2021
atletico-mg;2022;1669,4379273842997;atletico-mg-2022
avai;2009;1587,3395897014643;avai-2009
avai;2010;1517,0559909423223;avai-2010
avai;2011;1432,1494655525244;avai-2011
avai;2015;1479,2874868003398;avai-2015
avai;2017;1524,010410461599;avai-2017
avai;2019;1368,1582949380775;avai-2019
avai;2022;1401,647746235297;avai-2022
bahia;2003;1388,3131173762124;bahia-2003
bahia;2011;1503,2243595942293;bahia-2011
bahia;2012;1546,1127718435735;bahia-2012
bahia;2013;1539,2677915855352;bahia-2013
bahia;2014;1464,3969817311659;bahia-2014
bahia;2017;1546,6537956652926;bahia-2017
bahia;2018;1547,2889157042612;bahia-2018
bahia;2019;1535,2594669640728;bahia-2019
bahia;2020;1487,5827759148638;bahia-2020
bahia;2021;1517,4611911371858;bahia-2021
barueri;2009;1515,3290571644086;barueri-2009
botafogo-rj;2004;1477,18101217624;botafogo-rj-2004
botafogo-rj;2005;1505,4368725944744;botafogo-rj-2005
botafogo-rj;2006;1522,2856904925495;botafogo-rj-2006
botafogo-rj;2007;1541,6726540854206;botafogo-rj-2007
botafogo-rj;2008;1529,6031399661933;botafogo-rj-2008
botafogo-rj;2009;1558,7664518480183;botafogo-rj-2009
botafogo-rj;2010;1617,480876564278;botafogo-rj-2010
botafogo-rj;2011;1558,9076379759542;botafogo-rj-2011
botafogo-rj;2012;1569,6323894863049;botafogo-rj-2012
botafogo-rj;2013;1598,9106926241539;botafogo-rj-2013
botafogo-rj;2014;1435,3846779194942;botafogo-rj-2014
botafogo-rj;2016;1589,3352294094236;botafogo-rj-2016
botafogo-rj;2017;1566,918837058421;botafogo-rj-2017
botafogo-rj;2018;1578,6836811367214;botafogo-rj-2018
botafogo-rj;2019;1484,9417407708397;botafogo-rj-2019
botafogo-rj;2020;1444,8958807488941;botafogo-rj-2020
botafogo-rj;2021;1385,605535433838;botafogo-rj-2021
botafogo-rj;2022;1548,6561153875632;botafogo-rj-2022
bragantino;2020;1530,667929483323;bragantino-2020
bragantino;2021;1601,6173970440743;bragantino-2021
bragantino;2022;1515,1639378966813;bragantino-2022
brasiliense;2005;1413,088762760707;brasiliense-2005
ceara;2010;1524,4532690946446;ceara-2010
ceara;2011;1458,7906281021392;ceara-2011
ceara;2018;1530,8877213820053;ceara-2018
ceara;2019;1480,8324702054267;ceara-2019
ceara;2020;1560,8275678295827;ceara-2020
ceara;2021;1594,9824993462462;ceara-2021
ceara;2022;1479,2016839226321;ceara-2022
chapecoense;2014;1500,1250859668223;chapecoense-2014
chapecoense;2015;1521,8552719666961;chapecoense-2015
chapecoense;2016;1574,9882835914318;chapecoense-2016
chapecoense;2017;1608,3218403991548;chapecoense-2017
chapecoense;2018;1541,0983629026887;chapecoense-2018
chapecoense;2019;1461,1249265306315;chapecoense-2019
chapecoense;2021;1325,527794489351;chapecoense-2021
corinthians;2003;1434,6400920588808;corinthians-2003
corinthians;2004;1583,1475235806604;corinthians-2004
corinthians;2005;1656,9969771818332;corinthians-2005
corinthians;2006;1597,6482501961636;corinthians-2006
corinthians;2007;1511,7191222778217;corinthians-2007
corinthians;2009;1536,5361512094164;corinthians-2009
corinthians;2010;1634,8546604138535;corinthians-2010
