game;quarter;time;down;distance;field;score;play
1;1;9;1;10;34;0;2
1;1;42;1;10;47;0;1
1;1;83;2;6;49;0;2
1;1;93;3;6;49;0;2
1;1;119;1;10;58;0;2
1;1;163;2;2;66;0;1
1;1;203;3;1;67;0;1
1;1;239;1;10;69;0;2
1;1;270;2;14;65;0;1
1;1;315;3;13;66;0;2
1;1;364;1;10;80;0;1
1;1;397;2;2;88;0;1
1;1;431;3;5;85;0;2
1;1;476;1;9;91;0;1
1;1;514;2;8;92;0;2
1;1;523;3;8;92;0;2
1;1;529;4;8;92;0;3
1;1;852;1;10;34;3;2
1;1;859;2;10;34;3;1
1;1;891;3;8;36;3;2
1;2;0;1;10;59;3;2
1;2;37;1;10;71;3;2
1;2;46;2;10;71;3;2
1;2;53;3;10;71;3;2
1;2;94;1;14;86;3;1
1;2;138;2;15;85;3;2
1;2;149;3;15;85;3;2
1;2;153;4;15;85;3;3
1;2;468;1;10;30;6;2
1;2;503;2;13;27;6;2
1;2;549;3;5;35;6;2
1;2;585;1;10;49;6;2
1;2;626;1;10;67;6;2
1;2;636;2;10;67;6;1
1;2;663;3;3;90;6;2
1;2;691;1;2;98;6;2
1;2;705;2;2;98;6;1
1;2;737;3;2;92;6;2
1;2;835;1;10;38;6;2
1;2;840;1;10;54;6;2
1;2;845;2;5;59;6;2
1;2;850;1;10;68;6;1
1;2;855;2;9;69;6;3
1;3;476;1;10;27;2;1
1;3;506;2;7;30;2;2
1;3;519;3;7;30;2;2
1;3;526;4;7;30;2;3
1;3;666;1;10;21;2;2
1;3;699;2;6;25;2;2
1;3;735;2;16;15;2;2
1;3;776;1;10;32;2;2
1;3;821;1;10;49;2;2
1;3;845;2;4;55;2;2
1;3;853;3;4;55;2;2
1;3;884;1;10;67;2;1
1;4;0;2;5;72;2;1
1;4;26;1;10;79;2;2
1;4;58;1;1;99;2;1
1;4;99;2;1;99;2;1
1;4;426;1;10;30;2;1
1;4;468;2;5;35;2;1
1;4;499;1;10;44;2;2
1;4;577;2;11;43;2;2
1;4;583;3;11;43;2;2
1;4;589;4;11;43;2;3
1;4;669;1;10;66;2;1
1;4;675;2;16;60;2;2
1;4;682;3;13;63;2;2
1;4;719;1;10;77;2;1
1;4;737;2;4;83;2;1
1;4;780;3;2;85;2;1
1;4;826;4;2;85;2;3
2;1;45;1;10;84;0;1
2;1;87;2;6;88;0;1
2;1;125;3;4;90;0;2
2;1;252;1;10;37;7;1
2;1;287;2;1;46;7;1
2;1;311;1;10;49;7;2
2;1;344;1;10;25;7;1
2;1;389;2;6;21;7;2
2;1;397;3;6;21;7;2
2;1;708;1;10;19;14;2
2;1;757;1;15;40;14;1
2;1;801;2;12;43;14;2
2;1;837;3;12;43;14;2
2;1;878;1;10;66;14;1
2;2;0;2;1;75;14;1
2;2;40;3;6;70;14;2
2;2;75;1;10;80;14;1
2;2;122;2;5;85;14;1
2;2;170;3;2;88;14;2
2;2;170;1;1;99;14;1
2;2;342;1;10;34;14;2
2;2;378;1;10;62;14;1
2;2;417;2;13;59;14;2
2;2;453;3;4;68;14;2
2;2;486;1;10;75;14;1
2;2;525;2;7;78;14;2
2;2;529;3;7;78;14;2
2;2;534;4;7;78;14;3
2;2;791;1;10;31;14;2
2;2;815;1;10;46;14;2
2;2;833;1;10;56;14;2
2;2;838;2;10;56;14;1
2;2;868;3;11;55;14;2
2;2;875;1;10;73;14;2
2;2;887;1;10;85;14;2
2;2;887;2;10;85;14;2
2;2;892;2;20;75;14;2
2;2;897;3;20;75;14;3
2;3;5;1;10;18;17;2
2;3;46;2;10;18;17;2
2;3;88;3;9;19;17;2
2;3;123;1;10;35;17;1
2;3;169;2;7;38;17;1
2;3;200;1;10;46;17;2
2;3;235;1;10;58;17;1
2;3;269;2;1;67;17;1
2;3;304;1;10;72;17;2
2;3;309;2;10;72;17;1
2;3;358;1;10;88;17;2
2;3;361;2;10;88;17;1
2;3;409;3;13;85;17;2
2;3;516;1;10;45;24;2
2;3;563;2;10;45;24;2
2;3;598;1;10;61;24;2
2;3;643;1;10;75;24;2
2;3;647;2;10;75;24;2
2;3;694;3;5;80;24;2
2;3;699;4;5;80;24;3
2;3;804;1;10;36;27;2
2;3;845;2;4;42;27;2
2;3;847;1;10;59;20;1
2;4;0;2;4;65;20;2
2;4;36;3;14;55;20;2
2;4;40;4;14;55;20;3
2;4;210;1;10;24;20;1
2;4;242;2;6;28;20;2
2;4;277;1;10;46;20;1
2;4;314;2;3;53;20;1
2;4;355;1;10;59;20;2
2;4;418;1;2;98;20;1
2;4;594;1;10;25;20;1
2;4;637;2;7;28;20;1
2;4;643;1;10;45;20;1
2;4;678;1;10;55;20;1
2;4;685;2;4;61;20;1
2;4;725;3;2;63;20;1
2;4;732;1;10;71;20;1
2;4;738;2;11;70;20;2
2;4;749;1;3;97;20;1
3;1;453;1;10;13;-7;1
3;1;479;2;7;16;-7;2
3;1;483;3;7;16;-7;2
3;1;512;1;10;30;-7;1
3;1;544;2;10;30;-7;2
3;1;547;3;10;30;-7;2
3;1;579;4;8;32;-7;3
3;1;859;1;10;25;-7;1
3;1;896;2;10;25;-7;1
3;2;0;3;3;32;-7;2
3;2;6;4;3;32;-7;3
3;2;733;1;10;20;0;2
3;2;759;2;10;20;0;2
3;2;764;3;10;20;0;2
3;2;780;1;10;42;0;2
3;2;783;2;10;42;0;2
3;2;816;3;17;35;0;2
3;2;825;1;10;55;0;2
3;2;847;2;5;60;0;2
3;2;851;3;5;60;0;2
3;2;857;4;5;60;0;3
3;3;7;1;10;20;0;1
3;3;37;2;9;21;0;2
3;3;80;3;3;27;0;2
3;3;104;1;10;31;0;2
3;3;141;1;10;69;0;1
3;3;174;2;9;70;0;2
3;3;177;3;9;70;0;2
3;3;316;1;10;17;7;2
3;3;347;2;4;23;7;2
3;3;353;3;4;23;7;2
3;3;357;4;4;23;7;3
3;3;469;1;5;8;7;1
3;3;503;1;10;17;7;1
3;3;548;2;3;24;7;2
3;3;553;3;3;24;7;2
3;3;557;4;3;24;7;3
3;3;811;1;10;39;7;2
3;3;879;2;13;36;7;2
3;4;187;1;10;39;7;2
3;4;207;1;10;56;7;1
3;4;245;2;6;60;7;1
3;4;287;1;10;77;7;2
3;4;292;2;10;77;7;2
3;4;296;3;10;77;7;2
3;4;342;1;1;99;7;1
3;4;385;2;2;98;7;1
3;4;692;1;10;11;7;1
3;4;738;2;7;14;7;1
3;4;776;1;10;23;7;1
3;4;780;2;9;24;7;1
3;4;785;3;6;27;7;1
3;4;833;4;8;25;7;3
4;1;117;1;10;89;0;1
4;1;148;2;5;94;0;1
4;1;264;1;10;40;7;1
4;1;290;2;2;48;7;1
4;1;327;1;10;51;7;2
4;1;364;2;22;39;7;1
4;1;705;3;15;46;7;2
4;1;705;4;15;46;7;3
4;1;539;1;10;35;7;1
4;1;564;2;2;43;7;1
4;1;593;1;10;50;7;1
4;1;622;2;8;52;7;1
4;1;692;3;9;51;7;2
4;1;701;4;9;51;7;3
4;2;14;1;10;35;7;1
4;2;42;2;6;39;7;1
4;2;82;3;3;42;7;2
4;2;88;4;3;42;7;3
4;2;624;1;10;15;-7;2
4;2;659;1;10;56;-7;1
4;2;677;2;1;65;-7;1
4;2;710;1;10;67;-7;2
4;2;718;2;10;67;-7;1
4;2;764;3;8;69;-7;2
4;2;780;1;10;81;-7;1
4;2;818;2;8;83;-7;2
4;2;818;3;4;87;-7;2
4;2;863;1;9;91;-7;2
4;2;881;2;2;98;-7;1
4;3;6;1;10;30;0;1
4;3;27;2;7;33;0;2
4;3;88;1;10;47;0;2
4;3;92;3;7;50;0;2
4;3;96;4;20;37;0;3
4;3;629;1;10;20;0;1
4;3;660;2;9;21;0;2
4;3;680;3;2;28;0;1
4;3;710;1;10;35;0;1
4;3;738;2;5;40;0;2
4;3;768;1;10;49;0;2
4;3;773;2;10;49;0;1
4;3;803;1;10;59;0;1
4;3;835;2;5;64;0;1
4;3;894;3;6;68;0;2
4;4;0;1;10;77;0;1
4;4;35;1;7;93;0;1
4;4;76;2;1;99;0;1
4;4;108;3;1;99;0;1
4;4;118;4;2;98;0;3
4;4;430;1;10;32;-4;2
4;4;457;2;4;38;-4;1
4;4;491;1;10;44;-4;1
4;4;525;2;8;46;-4;1
4;4;560;3;6;48;-4;2
4;4;592;1;10;58;-4;1
4;4;626;2;6;62;-4;2
4;4;657;1;10;69;-4;2
4;4;664;1;10;80;-4;1
4;4;672;1;20;70;-4;2
4;4;680;2;20;70;-4;2
4;4;686;1;8;92;-4;1
4;4;711;2;4;96;-4;1
4;4;740;3;2;98;-4;2
5;1;58;1;10;74;0;2
5;1;90;2;1;83;0;1
